name,time_ns,compiler,cluster,source_file,kernel
dace_s118_cpy,14403000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14287000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14289000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14321000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
dace_s118_cpy,14425000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s118
s119_run_timed,84563707,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,85019900,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,85083611,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84844539,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84492267,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84286355,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84872239,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84765919,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84350416,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84496277,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
s119_run_timed,84735268,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s119
dace_s119_cpy,119214000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119406000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119158000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119205000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119277000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119197000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119273000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119008000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,118910000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119261000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
dace_s119_cpy,119088000,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s119
s121_run_timed,130997533,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130762692,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130820742,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,131249045,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130832982,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130797192,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130675401,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
s121_run_timed,130719702,gcc,amd_epyc,runtimes_v7f_default.csv,cpp_s121
