,compiler,cluster,source_file,name,median_ns,mean_ns,variance_ns,impl,kernel
171,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s3112,66305500.0,66400800.0,58444622222.22259,dace,s3112
172,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s3113,162320500.0,162423600.0,115005599999.99907,dace,s3113
173,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s321,105186000.0,105138363.63636364,186941254545.45416,dace,s321
174,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s322,207230000.0,207203363.63636363,58781054545.45461,dace,s322
175,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s323,134153000.0,134368727.27272728,318924818181.821,dace,s323
176,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s3251,113271000.0,113118363.63636364,216246454545.4544,dace,s3251
177,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s331,50828000.0,50820000.0,51963333333.333885,dace,s331
178,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s341,351311000.0,351387272.72727275,1336308018181.8293,dace,s341
179,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s342,356201500.0,356489800.0,777090844444.4473,dace,s342
180,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s343,74547000.0,74643300.0,61942677777.77782,dace,s343
181,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s351,369418000.0,369489909.09090906,213946890909.09,dace,s351
182,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s352,356370000.0,356656600.0,978821155555.567,dace,s352
183,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s353,474873500.0,475966900.0,15618310322222.21,dace,s353
184,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4112,476581000.0,476780818.1818182,166525763636.36545,dace,s4112
185,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4113,945417500.0,945308300.0,707272899999.9927,dace,s4113
186,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4114,528714000.0,533475000.0,292467084600000.0,dace,s4114
187,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4115,476024000.0,476203727.27272725,384632218181.82043,dace,s4115
188,gcc,amd_epyc,runtimes_v7f_default.csv,dace_s4116,92000.0,93090.90909090909,5690909.090909095,dace,s4116
